index	word	definition	label
2938	slipover	a family of fish or the order Perciformes including robolos	0
2939	roiling	antihistamine used to treat rhinitis and pruritus	0
2940	epidural	on or outside the dura mater	1
2941	jotter	quantitative analysis by weight	0
2942	nuts	informal or slang terms for mentally irregular	1
2943	chiromancy	small trees, shrubs, and herbs of warm arid and saline regions; often resinous; some poisonous: genera Zygophyllum, Tribulus, Guaiacum, Larrea	0
2944	waviness	an advocate of some ideology	0
2945	crackerjack	something excellent of its kind	1
2946	overlarge	excessively large	1
2947	past	a subfamily of Altaic languages	0
2948	gridlock	impregnate, combine, or supply with oxygen	0
2949	sneezeweed	press down tightly	0
2950	booked	a fungus that infects various cereal plants forming compact black masses of branching filaments that replace many grains of the plant; source of medicinally important alkaloids and of lysergic acid	0
2951	totally	soft-finned bottom-dwelling fishes	0
2952	kick	thrash about or strike out with the feet	1
2953	partitioning	a government office in a town where information about available jobs is displayed and where unemployment benefits are administered	0
2954	hospitality	a gummy substance that is a sodium salt of carboxymethyl cellulose; used as a thickening or emulsifying agent	0
2955	wrench	twist and compress, as if in pain or anguish	1
2956	dope	carbonated drink flavored with extract from Kola nuts (`dope' is a southernism in the United States)	1
2957	sphacelate	undergo necrosis	1
2958	backache	an ache localized in the back	1
2959	insurrectionary	having plentiful supplies of a resource	0
2960	overnice	the trait of displaying arrogance by patronizing those considered inferior	0
2961	saphead	a person who lacks good judgment	1
2962	infinity	time without end	1
2963	authorities	the organization that is the governing authority of a political unit	1
2964	imperforate	relating to coreference	0
2965	expressive	characterized by expression	1
2966	crudely	in a crude and unskilled manner	1
2967	overbite	the univalent unsaturated organic radical C3H5; derived from propylene	0
2968	inflame	become inflamed; get sore	1
2969	flapper	whitish hairy plant with featherlike leaves and a few stout stems each bearing an especially handsome solitary large yellow flower head; mountainous regions north central United States	0
2970	speller	most common grey shark along coasts of middle Atlantic states; sluggish and occasionally caught by fishermen	0
2971	jinxed	(usually used colloquially) causing or accompanied by misfortune	1
2972	unloaded	a person who hates marriage	0
2973	warranty	the shorter hand of a clock that points to the hours	0
2974	unsigned	(physics) the center of mass of the immersed part of ship or other floating object	0
2975	alarming	causing alarm or fear	1
2976	bismuthal	of or relating to bismuth	1
2977	severity	used of the degree of something undesirable e.g. pain or weather	1
2978	wrest	obtain by seizing forcibly or violently, also metaphorically	1
2979	unfolding	a developmental process	1
2980	xanthoma	genus of tropical herbs or subshrubs having flowers in close heads; tropical America and Australia	0
2981	tongs	any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below	1
2982	snow	a vein formed by the union of tributaries that drain the hip joints and thigh muscles; empties into the internal iliac vein	0
2983	graciously	in a gracious or graceful manner	1
2984	foresight	providence by virtue of planning prudently for the future	1
2985	dictate	a guiding principle	1
2986	understudy	be an understudy or alternate for a role	1
2987	lachrymatory	relating to or prompting tears	1
2988	decrypt	a very dark grey color	0
2989	pseud	a person who makes deceitful pretenses	1
2990	cufflink	the basic unit of money in Madagascar	0
2991	climbing	a document authorizing the holder to construct a building of a particular kind on a particular lot	0
2992	plasticity	the property of being physically malleable; the property of something that can be worked or hammered or shaped without breaking	1
2993	bloodstone	green chalcedony with red spots that resemble blood	1
2994	reportedly	according to reports or other information	1
2995	firebug	of southwestern Europe; cultivated in Florida	0
2996	eightfold	sufficiently significant to affect the whole world	0
2997	gunshot	the act of shooting a gun	1
2998	pipette	evergreen climbing shrub of southern Florida and West Indies grown for its racemes of fragrant white to creamy flowers followed by globose white succulent berries	0
2999	routine	occurring at fixed times or predictable intervals	1
3000	chest	medium-sized five-needled pine of southwestern California having long cylindrical cones	0
3001	messy	the year in the ecclesiastical calendar; especially feast days and special seasons	0
3002	busbar	a member of the dominant Hindu military caste in northern India	0
3003	scene	someone skilled in weaving baskets	0
3004	pelvic	a Roman Catholic order founded by Saint Ignatius of Loyola in 1534 to defend Catholicism against the Reformation and to do missionary work among the heathen; it is strongly committed to education and scholarship	0
3005	linemen	rod-shaped motile bacteria that attack plants	0
3006	glider	aircraft supported only by the dynamic action of air against its surfaces	1
3007	countrywide	occurring or extending throughout a country or nation	1
3008	functional	fit or ready for use or service	1
3009	blithesome	the branch of medicine concerned with the treatment of infants and children	0
3010	intentness	the quality of being intent and concentrated	1
3011	forensic	of, relating to, or used in courts of law or public debate or argument	1
3012	portraying	small hard-shelled nut of North American hickory trees especially the shagbark hickories	0
3013	cookfire	a weedy perennial with tough wiry stems and purple flowers; native to Europe but widely naturalized	0
3014	xylophone	a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets	1
3015	divergence	a difference between conflicting facts or claims or opinions	1
3016	horsewoman	a woman horseman	1
3017	roadman	grasping and shaking a person's hand (as to acknowledge an introduction or to agree on a contract)	0
3018	stronghold	a strongly fortified defensive structure	1
3019	boot	cause to load (an operating system) and start the initial processes	1
3020	highchair	compass in the form of a card that rotates so that 0 degrees or North points to magnetic north	0
3021	obstinately	in a stubborn unregenerate manner	1
3022	noticeable	capable or worthy of being perceived	1
3023	pennilessness	a state of lacking money	1
3024	underarm	a cigarette with a filter tip	0
3025	godly	large showy finches related to cardinals	0
3026	perfected	an antibiotic (trade name Achromycin) derived from microorganisms of the genus Streptomyces and used broadly to treat infections	0
3027	sharpen	make sharp or sharper	1
3028	cheapen	lower the grade of something; reduce its worth	1
3029	acquired	infatuated with or enthralled by the theater especially the desire to act	0
3030	crow	dwell on with satisfaction	1
3031	rancorous	a genus of fungi of the family Blastodiaceae	0
3032	firsthand	received directly from a source	1
3033	silverfish	a silvery variety of Carassius auratus	1
3034	muffin	sea lilies	0
3035	spelunker	the full complement of proteins produced by a particular genome	0
3036	pignut	aquatic carnivorous mammal having a streamlined body specialized for swimming with limbs modified as flippers	0
3037	keypad	remove the organization from	0
3038	teeterboard	hairy South African or Australian subshrub that has daisylike flowers with blue rays	0
3039	laminitis	inflammation of the laminated tissue that attaches the hoof to the foot of a horse	1
3040	coseismal	electronic warfare undertaken to insure effective friendly use of the electromagnetic spectrum in spite of the enemy's use of electronic warfare	0
3041	cellar	southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration	0
3042	embrown	turning lights on	0
3043	strike	(psychoanalysis) anxiety resulting from real or imagined threats to your sexual functions; originally applied only to men but can in principal apply to women	0
3044	sawfly	insect whose female has a saw-like ovipositor for inserting eggs into the leaf or stem tissue of a host plant	1
3045	shodden	wearing footgear	1
3046	pesticide	that you have the financial means for	0
3047	preemptor	a state or territory partly controlled by (but not a possession of) a stronger state but autonomous in internal affairs; protectorates are established by treaty	0
3048	lawless	incision into a kidney (usually to remove a kidney stone)	0
3049	verifying	an act that exploits or victimizes someone (treats them unfairly)	0
3050	spendable	divided into two lobes	0
3051	suitor	an acute lung disease of the newborn (especially the premature newborn); lungs cannot expand because of a wetting agent is lacking; characterized by rapid shallow breathing and cyanosis and the formation of a glassy hyaline membrane over the alveoli	0
3052	glimmer	shine brightly, like a star or a light	1
3053	khanate	the realm of a khan	1
3054	methodological	relating to the methodology of some discipline	1
3055	plethoric	the doctrine that the application of a general term to various objects indicates the existence of a mental entity that mediates the application	0
3056	preferably	more readily or willingly	1
3057	zirconia	a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone	0
3058	brachycranic	American song sparrow and swamp sparrow	0
3059	indemnify	without decorousness	0
3060	tenseness	(psychology) a state of mental or emotional strain or suspense	1
3061	thug	an aggressive and violent young criminal	1
3062	jitteriness	the anxious feeling you have when you have the jitters	1
3063	cowpie	fecal matter of a cow	1
3064	stocker	one of the large arteries supplying blood to the pelvis and legs	0
3065	crabgrass	grasses with creeping stems that root freely; a pest in lawns	1
3066	gumweed	any of various western American plants of the genus Grindelia having resinous leaves and stems formerly used medicinally; often poisonous to livestock	1
3067	redemptional	of or relating to or resulting in redemption	1
3068	clumsily	in a clumsy manner	1
3069	limitation	an act of limiting or restricting (as by regulation)	1
3070	invincibility	the property being difficult or impossible to defeat	1
3071	corporality	the quality of being physical; consisting of matter	1
3072	bursitis	mimics literary or musical style for comic effect	0
3073	complicity	a type of oratory used to eulogize or condemn a person or group of people	0
3074	stoning	pelting with stones; punishment inflicted by throwing stones at the victim (even unto death)	1
3075	virologist	a simple camera shaped like a rectangular box	0
3076	spiritually	of or relating to or resembling archangels	0
3077	comprehendible	be subject to or the object of	0
3078	townie	of or relating to or including several cultures	0
3079	humanly	in the manner of human beings	1
3080	dawdling	the deliberate act of delaying and playing instead of working	1
3081	punctuation	the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases	1
3082	dismal	small genus of east Asian and Chinese trees with odd-pinnate leaves and long twisted samaras	0
3083	expeditionary	(used of military forces) designed for military operations abroad	1
3084	lifetime	not reformed morally or spiritually	0
3085	lacing	the act of inflicting corporal punishment with repeated blows	1
3086	credited	(usually followed by `to') given credit for	1
3087	columnist	yellowish edible agaric that usually turns red when touched	0
3088	putting	hitting a golf ball that is on the green using a putter	1
3089	vampire	perennial having tufted basal leaves and short leafless stalks each bearing a solitary yellow flower head; dry hillsides and plains of west central North America	0
3090	arcminute	a unit of angular distance equal to a 60th of a degree	1
3091	copyhold	a medieval form of land tenure in England; a copyhold was a parcel of land granted to a peasant by the lord of the manor in return for agricultural services	1
3092	wordbook	a reference book containing words (usually with their meanings)	1
3093	phonics	teaching reading by training beginners to associate letters with their sound values	1
3094	scoring	used of hair; thick and poorly groomed	0
3095	scholastically	with respect to scholastic activities	1
3096	plate	in some classifications considered a part of the family Saxifragaceae: plants whose fruit is a berry	0
3097	appellate	a common complex mineral consisting of calcium fluoride phosphate or calcium chloride phosphate; a source of phosphorus	0
3098	scattershot	genus of mostly North American geraniums: cranesbills	0
3099	telegram	a message transmitted by telegraph	1
3100	semantic	of or relating to meaning or the study of meaning	1
3101	leveller	(Judaism) thin pancake folded around a filling and fried or baked	0
3102	intensive	not fully understood	0
3103	mythical	based on or told of in traditional stories; lacking factual basis or historical validity	1
3104	guiltless	an intensely radioactive metallic element that occurs in minute amounts in uranium ores	0
3105	unrestricted	stock is publicly traded but most is held by a few shareholders who have no plans to sell	0
3106	counterrevolution	a revolution whose aim is to reverse the changes introduced by a previous revolution	1
3107	reorientate	orient once again, after a disorientation	1
3108	flattened	a small sheet of paper	0
3109	greenly	with green color	1
3110	slowing	a derogatory term used by Jews to refer to non-Jewish women	0
3111	modernity	the quality of being current or of the present	1
3112	overwrite	mixed feelings or emotions	0
3113	occultation	one celestial body obscures another	1
3114	wooer	a man who courts a woman	1
3115	shoot	a coin worth eight pennies	0
3116	racketeer	erect perennial strong-scented with serrate pointed leaves and a loose panicle of yellowish flowers; the eastern United States	0
3117	bond	native to Europe; in America the larvae bore into the stem and crown of corn and other plants	0
3118	buggery	intercourse via the anus, committed by a man with a man or woman	1
3119	reconstruct	a coil of wire around an iron core; becomes a magnet when current passes through the coil	0
3120	accountable	a family of plants of order Urticales including many nettles with stinging hairs	0
3121	canvasback	catalpa tree of central United States	0
3122	hairpin	a double pronged pin used to hold women's hair in place	1
3123	moved	being excited or provoked to the expression of an emotion	1
3124	thrombocytopenia	a blood disease characterized by an abnormally small number of platelets in the blood	1
3125	cabalism	the doctrines of the Kabbalah	1
3126	hypsometry	measurement of the elevation of land above sea level	1
3127	genitals	external sex organ	1
3128	clearweed	a plants of the genus Pilea having drooping green flower clusters and smooth translucent stems and leaves	1
3129	avoidance	someone who is openly rebellious and refuses to obey authorities (especially seamen or soldiers)	0
3130	clifflike	a business that manufactures and sells computers	0
3131	laminator	a person who makes laminates (especially plastic laminates)	1
3132	busboy	a restaurant attendant who sets tables and assists waiters and clears away dirty dishes	1
3133	harvesting	the gathering of a ripened crop	1
3134	deaf	(usually followed by `to') unwilling or refusing to pay heed	1
3135	stairway	technical terms for pregnancy	0
3136	buttock	either of the two large fleshy masses of muscular tissue that form the human rump	1
3137	tawdriness	large sculpin of western Atlantic; inflates itself when caught	0
3138	stoically	without emotion; in a stoic manner	1
3139	hangout	a frequently visited place	1
3140	pasture	predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer	0
3141	trailing	articles of commerce	0
3142	yellowfin	may reach 400 pounds; worldwide in tropics	1
3143	lousy	vile; despicable	1
3144	churchman	a complete metric system of units of measurement for scientists; fundamental quantities are length (meter) and mass (kilogram) and time (second) and electric current (ampere) and temperature (kelvin) and amount of matter (mole) and luminous intensity (candela)	0
3145	fortunately	any of numerous herbivorous nonpoisonous arthropods having a cylindrical body of 20 to 100 or more segments most with two pairs of legs	0
3146	humanoid	an automaton that resembles a human being	1
3147	watchman	a militant group of extremist Sunnis who believe themselves the only correct interpreters of the Koran and consider moderate Muslims to be infidels; seek to convert all Muslims and to insure that its own fundamentalist version of Islam will dominate the world	0
3148	crenellated	red Asian weaverbirds often kept as cage birds	0
3149	goodly	the sun with the celestial bodies that revolve around it in its gravitational field	0
3150	crapshoot	stringybark having white wood	0
3151	grant	spite and resentment at seeing the success of another (personified as one of the deadly sins)	0
3152	crowberry	a genus of Psittacidae	0
3153	buccal	genus of western American low tufted herbs: Easter daisy	0
3154	sideroblast	the repetition of consonants (or consonant patterns) especially at the ends of words	0
3155	unwitting	not intentional	1
3156	frontal	a morphine derivative that is not as strong as morphine; used as an emetic and in small doses as a sedative	0
3157	kymograph	scientific instrument consisting of a rotating drum holding paper on which a stylus traces a continuous record (as of breathing or blood pressure)	1
3158	connector	the person in a rank around whom the others wheel and maneuver	0
3159	accepting	adjacent to a putting green	0
3160	signboard	structure displaying a board on which advertisements can be posted	1
3161	flinty	communication by paranormal means	0
3162	thermion	an electrically charged particle (electron or ion) emitted by a substance at a high temperature	1
3163	interesting	all parts of plant are highly toxic; bulb pounded and used as a fly poison; sometimes placed in subfamily Melanthiaceae	0
3164	disgusting	highly offensive; arousing aversion or disgust	1
3165	sizzle	make a sound like frying fat	1
3166	bluefin	a ladder with side pieces of rope	0
3167	conciliation	thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America	0
3168	undercharge	an image of a structure that is produced by ultrasonography (reflections of high-frequency sound waves); used to observe fetal growth or to study bodily organs	0
3169	smug	a genus of Haemulidae	0
3170	forging	a nose curved downward like the beak of a hawk	0
3171	waggery	waggish behavior	1
3172	troops	(used of statements) harmful and often untrue; tending to discredit or malign	0
3173	perish	pass from physical life and lose all bodily attributes and functions necessary to sustain life	1
3174	sciolistic	small slender plant having one pair of succulent leaves at the middle of the stem and a loose raceme of white or pink or rose bowl-shaped flowers and an edible corm	0
3175	canoeist	minute arthropod often infesting the underground parts of truck-garden and greenhouse crops	0
3176	quarterdeck	the stern area of a ship's upper deck	1
3177	backhand	(of handwriting) having the letters slanting from left down to right	1
3178	pugnacity	cover with graphite	0
3179	frantically	in an uncontrolled manner	1
3180	breakstone	the principle hall in a castle or mansion; can be used for dining or entertainment	0
3181	impeller	oceanic tunicates	0
3182	outside	on the outside	1
3183	sauteed	of or relating to a doctor or doctorate	0
3184	balloonist	someone who flies a balloon	1
3185	pensionable	to an unimaginable extent	0
3186	pacificist	the English royal house that reigned from 1399 to 1461; its emblem was a red rose	0
3187	surging	characterized by great swelling waves or surges	1
3188	thimblerig	a room (as in a hotel or airport) with seating where people can wait	0
3189	obvious	a kind of soft talc; sometimes used as wood filler	0
3190	snowbank	a mound or heap of snow	1
3191	moorish	a style of architecture common in Spain from the 13th to 16th centuries; characterized by the horseshoe (Moorish) arch	1
3192	steamship	in some classification systems included in the Amaryllidaceae	0
3193	coroner	a public official who investigates by inquest any death not due to natural causes	1
3194	serotonin	of or pertaining to romantic love	0
3195	ketonemia	an abnormal increase of ketone bodies in the blood as in diabetes mellitus	1
3196	leathered	resembling or made to resemble leather; tough but pliable	1
3197	transmitting	the act of sending a message; causing a message to be transmitted	1
3198	circus	a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment	1
3199	scalable	capable of being scaled; possible to scale	1
3200	transiently	any plant of the order Psilophytales: a savannah plant	0
3201	fieldfare	medium-sized Eurasian thrush seen chiefly in winter	1
3202	resemblance	similarity in appearance or external or superficial details	1
3203	bottomless	having no apparent limits or bounds	1
3204	secretaryship	a family of Afroasiatic tonal languages (mostly two tones) spoken in the regions west and south of Lake Chad in north central Africa	0
3205	know	be familiar or acquainted with a person or an object	1
3206	motiveless	occurring without motivation or provocation	1
3207	absurdness	a message whose content is at variance with reason	1
3208	goalmouth	(sports) the area immediately in front of the goal	1
3209	suppositional	based primarily on surmise rather than adequate evidence	1
3210	waxy	California plant with slender racemes of white flowers	0
3211	suspected	plants having umbels or corymbs of uniovulate flowers; includes the Umbelliferae (chiefly herbs) and Cornaceae (chiefly trees or shrubs)	0
3212	behold	see with attention	1
3213	twitching	a sudden muscle spasm; especially one caused by a nervous condition	1
3214	brachydactyly	not exploratory	0
3215	redbone	the stalk of a corn plant	0
3216	erecting	violence carried out to further the political or social objectives of the environmentalists	0
3217	promised	assured by (usually) spoken agreement	1
3218	customer	someone who pays for goods or services	1
3219	liar	mockingbird of Mexico	0
3220	beware	be on one's guard; be cautious or wary about; be alert to	1
3221	leafing	(botany) the process of forming leaves	1
3222	roisterer	an especially noisy and unrestrained merrymaker	1
3223	bikers	originally a British youth subculture that evolved out of the teddy boys in the 1960s; wore black leather jackets and jeans and boots; had greased hair and rode motorcycles and listened to rock'n'roll; were largely unskilled manual laborers	1
3224	fattened	(of market animals) made ready for market	1
3225	splitter	a laborer who splits logs to build split-rail fences	1
3226	crowded	overfilled or compacted or concentrated	1
3227	blown	(law) behavior by the plaintiff that contributes to the harm resulting from the defendant's negligence	0
3228	sarcolemmal	moved to action	0
3229	venting	the act of venting	1
3230	trichrome	fitted or decorated with panels or wainscoting	0
3231	aluminum	flight at very low altitudes	0
3232	unprotected	lacking protection or defense	1
3233	polymer	large genus of often epiphytic evergreen tropical American plants often cultivated as houseplants	0
3234	discernability	actual deceit; concealing something or making a false representation with an evil intent to cause injury to another	0
3235	waggonwright	a wagon maker	1
3236	quarterstaff	genus of Australian shrubs and perennial herbs; sometimes included in genus Helichrysum	0
3237	diarrhea	pin joining a piston to a connecting rod	0
3238	nongregarious	of plants and animals; not growing or living in groups or colonies	1
3239	proofread	read for errors	1
3240	amphibiotic	having an aquatic early or larval form and a terrestrial adult form	1
3241	stretch	type genus of the Camelidae: camels	0
3242	gulfweed	leverage in the form of an inducement or a concession useful in successful negotiations	0
3243	leafage	a crystalline substance 500 times sweeter than sugar; used as a calorie-free sweetener	0
3244	nattiness	stylishness as evidenced by a smart appearance	1
3245	burg	colloquial American term for a town	1
3246	tribal	a form of infantilism characterized by physical underdevelopment but normal intelligence	0
3247	crudeness	an impolite manner that is vulgar and lacking tact or refinement	1
3248	swaggie	a calculation that results in an estimate that is too high	0
3249	pteridophyte	susceptible to being subjugated	0
3250	outcry	shout louder than	1
3251	sagging	game fish resembling the tarpon but smaller	0
3252	faddishly	abnormally intense sexual desire in men	0
3253	fomentation	deliberate and intentional triggering (of trouble or discord)	1
3254	dustlike	as fine and powdery as dust	1
3255	comfortless	without comfort	1
3256	selfish	concerned chiefly or only with yourself and your advantage to the exclusion of others	1
3257	evilness	the quality of being morally wrong in principle or practice	1
3258	esthetically	in a tasteful way	1
3259	plateful	the quantity contained in a plate	1
3260	stylisation	in a blunt direct manner	0
3261	ghettoize	(theology) being determined in advance; especially the doctrine (usually associated with Calvin) that God has foreordained every event throughout eternity (including the final salvation of mankind)	0
3262	vesical	a serialized program usually dealing with sentimentalized family matters that is broadcast on radio or television (frequently sponsored by a company advertising soap products)	0
3263	proficient	capable of being rotated	0
3264	minefield	a substance capable of bringing about the reduction of another substance as it itself is oxidized; used in photography to lessen the density of a negative or print by oxidizing some of the slackened silver	0
3265	escalation	(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data	0
3266	cord	hornworts: in some classification systems included in the class Hepaticopsida	0
3267	dioxide	hydraulic brake in which friction is applied to both sides of a spinning disk by the brake pads	0
3268	haematocele	a division of lower plants comprising unicellular and biflagellate algae that form starchy compounds	0
3269	pediatric	of or relating to the medical care of children	1
3270	warty	(of skin) covered with warts or projections that resemble warts	1
3271	indigenous	originating where it is found	1
3272	sunk	doomed to extinction	1
3273	xerography	forming an image by the action of light on a specially coated charged plate; the latent image is developed with powders that adhere only to electrically charged areas	1
3274	sceptred	invested with legal power or official authority especially as symbolized by having a scepter	1
3275	outset	a small electric space heater	0
3276	dismissal	the termination of someone's employment (leaving them free to depart)	1
3277	peacoat	a sailor's heavy woolen double-breasted jacket	1
3278	policeman	without suspicions	0
3279	jazzy	resembling jazz (especially in its rhythm)	1
3280	linearise	make linear or get into a linear form	1
3281	unforgettable	impossible to forget	1
3282	speckled	having a pattern of dots	1
3283	copy	(Hinduism) repeated rebirth in new forms	0
3284	fleapit	an old shabby movie theater	1
3285	spinnability	the quality of being suitable for spinning or the capability of being spun (used of textile fibers)	1
3286	auntie	the sister of your father or mother; the wife of your uncle	1
3287	seedpod	in a farcical manner	0
3288	applewood	wood of any of various apple trees of the genus Malus	1
3289	file	a parka to be worn while skiing	0
3290	mystically	in a mystical manner	1
3291	dandified	delayed or shut in by bad weather	0
3292	ascendance	a South American raccoon	0
3293	briefs	jawfishes	0
3294	taproom	a room or establishment where alcoholic drinks are served over a counter	1
3295	lemongrass	worthy of often limited commendation	0
3296	geometry	the pure mathematics of points and lines and curves and surfaces	1
3297	suppressant	linens for use in the bathroom	0
3298	masterless	having no lord or master	1
3299	affect	act physically on; have an effect upon	1
3300	incised	cut or impressed into a surface	1
3301	triclinic	having three unequal crystal axes intersecting at oblique angles	1
3302	slaty	milkweed of southwestern United States and Mexico; poisonous to livestock	0
3303	playlet	drains the lacrimal gland; empties into the superior ophthalmic vein	0
3304	crawling	a hard natural coal that burns slowly and gives intense heat	0
3305	reverently	with reverence; in a reverent manner	1
3306	preclude	an injury to the neck (the cervical vertebrae) resulting from rapid acceleration or deceleration (as in an automobile accident)	0
3307	sorcery	a careful examiner; someone who inspects with great care	0
3308	keycard	the quality of being one of a kind	0
3309	unwisely	without good sense or judgment	1
3310	sexy	exciting sexual desire	1
3311	immiscible	(chemistry, physics) incapable of mixing	1
3312	trivial	an infection of the sebaceous gland of the eyelid	0
3313	eating	an officer of the law	0
3314	cattiness	malevolence by virtue of being malicious or spiteful or nasty	1
3315	dictated	maintaining dignity or prestige	0
3316	slummy	(of housing or residential areas) indicative of poverty	1
3317	diplomacy	subtly skillful handling of a situation	1
3318	meltwater	melted snow or ice	1
3319	matey	a small spiked wheel at the end of a spur	0
3320	octillion	the number that is represented as a one followed by 27 zeros	1
3321	gosling	young goose	1
3322	systolic	the number that is represented as a one followed by 6 zeros	0
3323	cephalitis	inflammation of the brain usually caused by a virus; symptoms include headache and neck pain and drowsiness and nausea and fever (`phrenitis' is no longer in scientific use)	1
3324	bibliomania	an athlete who has earned a letter in a school sport	0
3325	catclaw	erect shrub with small if any spines having racemes of white to yellow flowers followed by curved pointed pods and black shiny seeds; West Indies and Florida	1
3326	drainage	emptying something accomplished by allowing liquid to run out of it	1
3327	prizewinning	coextensive with the order Rhynchocephalia: tuataras	0
3328	irregular	someone who drives a taxi for a living	0
3329	hesitate	pause or hold back in uncertainty or unwillingness	1
3330	unshockable	of southeast Europe and central Asia	0
3331	fireplug	an upright hydrant for drawing water to use in fighting a fire	1
3332	rodlike	by a factor of nine	0
3333	veinlike	having or showing markings that resemble veins	1
3334	itching	being five more than seventy	0
3335	punctually	at the proper time	1
3336	compactly	remove the testicles of a male animal	0
3337	fail	be unsuccessful	1
3338	image	someone who closely resembles a famous person (especially an actor)	1
3339	algorithm	perennial tussock-forming rock plants; of Pyrenees and mountains of northern Spain; similar to and sometimes placed in genus Lychnis	0
3340	chromatography	carpet beetles	0
3341	cladding	a protective covering that protects the outside of a building	1
3342	offenceless	in most classifications not considered a separate family but included in the Pedaliaceae	0
3343	umbrellawort	travel around, either by plane or ship	0
3344	spoonbill	wading birds having a long flat bill with a tip like a spoon	1
3345	ineptness	common bonito of Pacific coast of the Americas; its dark oily flesh cans well	0
3346	redesign	sleeping deeply	0
3347	prerecord	large river turtle of the southern United States and northern Mexico	0
3348	shootout	an abstract genre of art; artistic content depends on internal form rather than pictorial representation	0
3349	busty	an early symptom that a disease is developing or that an attack is about to occur	0
3350	litterer	any of several bull snakes of eastern and southeastern United States found chiefly in pine woods; now threatened	0
3351	flotation	green foliage	0
3352	clumsiness	a wood or metal receptacle placed on your desk to hold your incoming material	0
3353	hyperfine	extremely fine or thin, as in a spectral line split into two or more components	1
3354	sectionalize	European weed widely naturalized in North America having yellow flower heads and leaves resembling a cat's ears	0
3355	rancidity	a large subdivision of Eumycota including Hemiascomycetes and Plectomycetes and Pyrenomycetes and Discomycetes; sac fungi; in some classification systems considered a division of the kingdom Fungi	0
3356	convention	(diplomacy) an international agreement	1
3357	prep	someone who teaches geometry	0
3358	nectariferous	possessing nectaries	1
3359	fluor	a soft mineral (calcium fluoride) that is fluorescent in ultraviolet light; chief source of fluorine	1
3360	complaining	an extreme bellicose nationalist	0
3361	uppish	affording grounds for legal action	0
3362	soldiery	an artery that originates in the internal iliac artery and supplies the pelvic muscles and bones	0
3363	stockfish	the largest Eurasian bird of prey; having black feathers hanging around the bill	0
3364	grasslike	resembling grass	1
3365	relations	family of small usually brilliantly colored butterflies; males have short forelegs	0
3366	dibble	make a hole with a wooden hand tool	1
3367	souring	a limit set by Congress beyond which the national debt cannot rise; periodically raised by Congress	0
3368	chopper	a butcher's knife having a large square blade	1
3369	redskin	the property of being marginal or on the fringes	0
3370	sluggishly	in a sluggish manner	1
3371	calibration	the act of checking or adjusting (by comparison with a standard) the accuracy of a measuring instrument	1
3372	adore	(computer science) a memory device consisting of a flat disk covered with a magnetic coating on which information is stored	0
3373	ramrod	a rod used to ram the charge into a muzzle-loading firearm	1
3374	pounder	slender perennial of western North America having weakly bristly leaves and yellow flower heads	0
3375	mutinous	van used by police to transport prisoners	0
3376	teething	the eruption through the gums of baby teeth	1
3377	clincher	a point or fact or remark that settles something conclusively	1
3378	telepathy	an amino acid that occurs in proteins; is essential for growth and normal metabolism; a precursor of niacin	0
3379	lumberyard	adhering to tradition especially in cultural or religious practices	0
3380	addressed	a great circle on the celestial sphere passing through the zenith and perpendicular to the horizon	0
3381	chondrosarcoma	blind snakes	0
3382	preventative	any of several curved parallel veins accompanying arteries of the same name	0
3383	provoking	causing or tending to cause anger or resentment	1
3384	weathercock	of or relating to a prefecture	0
3385	rootle	dig with the snout	1
3386	tinkle	make or emit a high sound	1
3387	birthrate	the ratio of live births in an area to the population of that area; expressed per 1000 population per year	1
3388	midfield	Brazilian passionflower cultivated for its deep purple fruit	0
3389	expertise	skillfulness by virtue of possessing special knowledge	1
3390	sialadenitis	one of a number of families into which the family Polypodiaceae has been subdivided in some classification systems; includes genera Blechnum, Doodia, Sadleria, Stenochlaena, and Woodwardia	0
3391	playable	capable of or suitable for being played or played on	1
3392	commoner	a typeface used in ancient Roman inscriptions	0
3393	sandpaper	a specialist in geology	0
3394	maneuverable	malignant tumor in bone marrow (usually in the pelvis or in long bones)	0
3395	xylene	the girl chosen queen of a May Day festival	0
3396	gormandise	make official	0
3397	studying	game bird of the sandpiper family that resembles a snipe	0
3398	metro	displace oneself; go from one location to another	0
3399	devilize	an obsolete British unit of capacity equal to 18 Imperial gallons	0
3400	trapping	stable gear consisting of a decorated covering for a horse, especially (formerly) for a warhorse	1
3401	produce	music created by African-American musicians; early forms were songs that had a melodic line and a strong rhythmic beat with repeated choruses	0
3402	susceptibility	an indication of potential opportunity	0
3403	reelect	an unconditional order or promise to pay an amount of money	0
3404	hooking	a golf shot that curves to the left for a right-handed golfer	1
3405	sheriff	the principal law-enforcement officer in a county	1
3406	chipboard	the ratio of signal intensity to noise intensity	0
